source;page;type;content
CBE Law No. 194 of 2020.pdf;54;PDF;٥٤ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ والتسهيلات الائتمانية سوا كانت مقدمة من المقترض مباشرة أومن كفيله إلى مكتب الشهر _ العقارى الكائن فى دائرته العقار مرفقًا بهسند الملكية وشهادة تصرفات عقارية ومتضمنًا أسماء وبيانات أطراف عقد الرهن وبيان التسهيل الائتمانى أو قيمة التمويل وشروطه ويقيد الطلب فى سجل خاص يعد لذلك بمكتب الشهر _ العقارى المختص وعلى مكتب الشهر العقارى الختص أن يتحقق منصحة حدود العقار محل الرهن ومواصفاته بعد استيفا ما يلزم من مستندات من واقع الطلب وسند اللكية ويجب البت فى طلب الرهن خلال خمسة عشر يومًا من تاريخ تقديه مستوفيًا المستندات اللازمة ولا يجوز رفض طلب القيد إلا بسبب عدم استيفا المستندات اللازمة لإجراء وفى جميع الأحوال يجب إخطار الطالب بقبول الطلب أو بقرار رفضه مسببًا خلال سبعة أيام من تاريخ البت فيه وذلك بخطاب موصى عليه مصحوب بعلم الوصول وتسرى فى شأن التنفيذ على العقار المرهون للبنوك _ أحكام المواد من ١٢١) إلى ٢٧١) من قانون التمويل العقارى الصادر بالقانون رقم ٤٨ لسنة ٢٠٠١ ، وفى حالة عدم بلوغ أكبر عرض قيمة المديونية لا يترتب على إيقاع البيع إبراء ذمة الراهن من التزاماته تجاه البنك إلافى حدود المبلغ المتحصل للبنك من _ البيع وفى جميع الأحوال تستوفى رسوم التنفيذ على الأموال الرهونة للبنوك من حصيلة التنفيذ بعد إتمام البيع وتحسب نسبتها من حصيلة - البيع مادة ( ١٠٩ ) : عدم الإخلال بأحكام الخفض والإعفا المقررة قانونًا بالنسبة إلى الرسوم على الرهن الرسمى تخفض إلى النصف جميع الرسوم المستحقة على الرهون الرسمية والرهون التجارية ٧ يقدم للبنوك والبنوك الأجنبية ومؤسسات التمويل الدولية ضمانا للتمويل والتسهيلات الائتمانية سوا كانت مقدمة من المقترض مباشرة أومن كفيله وعلى تجديد وتعديل قيمة هذه الرهون أوأى شرط من شروطها وبحيث يكون الحد الأقصى لهذه الرسوم على النحو الآتى خمسة وعشرون ألف جنيه فيما لا تجاوز قيمته عشرة ملايين جنيه
CBE Law No. 194 of 2020.pdf;55;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ خمسون ألف جنيه فيمالا تجاوز قيمته عشرين مليون جنيه خمسة وسبعون ألف جنيه فيمالا تجاوز قيمته ثلاثين مليون جنيه مائة ألف جنيه فيما تجاوز قيمته ثلاثين مليون جنيه ويعفى شطب تلك الرهون من جميع الرسوم المستحقة مادة (١١٠ ) لمجلس الإدارة أن يرخص للشركات بتقديم خدمات ضمان الائتمان ويجب أن تتخذ شركة ضمان الائتمان شكل شركة مساهمة مصرية وألا يقل رأسمالها المصدر والمدفوع عن خمسين مليون جنيه ويحدد مجلس الإدارة بقرار منه قواعد الترخيص وشروطه وإجراءاته ونظام العمل فى شركات ضمان الائتمان ونظام رقابة البنك المركزي عليها ويعد فى البنك المركزى سجل لقيد تلك الشركات وذلك بعد أداء رسم معاينة مقداره مائة ألف جنيه عن المركز الرئيسى وخمسون ألف جنيه عن كل فرع ويحدد مجلس الإدارة رسم رقابة سنوى على هذه الشركات لا يجاوز مائة ألف جنيه تقوم بسداده خلال شهر يناير من كل عام ويسرى فى شأن تلك الشركات أحكام المادتين ١٤٤١، ١٤٥) منهذا القسانون بما يتناسب مع طبيعتها ( الفصل الخامس نظام تسجيل الائتمان مادة ( ١١١ ) يدير البنك المركزي نظامًا لتسجيل أرصدة التمويل والتسهيلات الائتمانية المقدمة لعملا البنوك وجهات منح الائتمان , وكذلك نظامًا لتسجيل أرصدة مديونية البنوك للخارج والضمانات الصادرة منها لجهات فى _ الخارج ويحفظ فى هذين النظامين المعلومات الضرورية للرقابة على الائتمان القدم لعملاء البنوك والأطراف الرتبطة بهم والمديونية الخارجية
CBE Law No. 194 of 2020.pdf;56;PDF;٥٦ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ وتلتزم البنوك وجهات منح الائتمان بأن تقدم البيسانات اللازمة فى هذا الشأن للبنك المركزى وذلك كله طبقا للضوابط والإجراءات التى يحددها مجلس الإدارة مع مراعاة التنسيق مع الهيئة العامة للرقابة المالية بالنسبة لجهات منح الائتمان الخاضعة لرقابتها مادة (١١٢ ) : لمجلس الإدارة أن يرخص للشركات بتقديم خدمات الاستعلام والتصنيف الائتمانى المتعلقة بمديونية عملا البنوك وشركات التمويل العقارى وشركات التأجير التمويلى وشركات وجمعيات التمويل متناهى الصغر وشركات التمويل الاستهلاكى ومديونية المتقدمين للحصول على تمويل أو تسهيلات ائتمانية من موردى السلع والخدمات وغيرها من جهات منح الائتمان التى يصدر بتحديدها قرارمن مجلس الإدارة ويجب أن تتخذ شركات الاستعلام والتصنيف الائتمانى شكل شركة مساهمة مصرية وألا يقل رأسمالها المصدر والمدفوع : عن مائتى مليون جنيه ويحدد مجلس الإدارة بقرار منه قواعد وشروط وإجسراءات الترخيص ونظام العمل فى تلك الشركات ونظام رقابة البنك المركزى عليها ويحدد مجلس الإدارة رسم رقابة سنوى على شركات الاستعلام والتصنيف الائتمانى لا يجاوز مائة ألف جنيه تقوم بسداده خلال شهر يناير من كل عام وتسرى على هذه الشركات الأحكام | الواردة فى المادتين ١٤٤١ ، ١٤٥) من هذا القانون بما يتناسب مع طبيعتها ويعد فى البنك المركزى سجل لقيد تلك الشركات مادة (١١٣ ) تلتزم البنوك وجهات منح الائتمان بالتسجيل المستمر لمراكز العملا فور صدور الموافقة على منحهم تمويل أو تسهيلات ائتمانية
CBE Law No. 194 of 2020.pdf;57;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ وللبنك المركزى أن يطلب إجراء أى تعديلات تكون لازمة لتحديث هذا النظا وضمان شمول بياناته على مراكز العملا المدينين ويجب ربط ذلك النظام بقاعدة المعلومات الجمعة بالبنك المركزى وشركات الاستعلام والتصنيف الائتمانى وعلى البنوك وجهات منح الائتمان إبلاغ البنك المركزى وشركات الاستعلام والتصنيف الائتمانى ببيان عن مركزكل عميل يحصل على موافقة لمنحه تسهيلات ائتمانية وذلك كله على النحو الذى تحدده القواعد والإجراءات الصادرة عن مجلس الإدارة مادة (١١٤ ) تلتزم الجهات والشركات القائمة على إدارة المرافق العامة فى المجالات - التى يحددها البنك المركزى بإمسداد شركات الا ستعلام والتصنيف الائتمانى بالبيسانات الخساصة بطالبى الائتمان وذلك بغرض تقييم الجدارة الائتمانية لهم وبشرط موافقة طالب الائتمان على ذلك ويحدد مجلس الإدارة البيانات المطلوب استيفاؤها من تلك الجهات وطريقة ومواعيد تقديمها مادة (١١٥ ) يعد البنك المركزى وشركات التصنيف والاستعلام الائتمانى فور استقبال المعلومات المشار إليها فى المادتين (١١٣ ، ١١٤) من هذا القانون بيانًا مجمعًا عن كل عميل وأطرافه المرتبطة وعلى البنوك وجهات منح الائتمان الاطلاع على البيان المجمع الخاص بالعميل وأطرافه المرتبطة قبل منحه تمويلاً أو تسهيلاً ائتمانيًا أو زيادته أو تجديده ولها المطالبة بمستخرج من هذا البيان وذلك كله طبقًا للقواعد والإجراءات الصادرة عن مجلس الإدارة
CBE Law No. 194 of 2020.pdf;58;PDF;٥٨ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١١٦ ) يتبادل البنك المركزي مع البنوك وجهات منح الائتمان وشركات الاستعلام والتصنيف الائتمانى المعلومات المتعلقة بمديونية العملاء والتمويلات أو التسهيلات الائتمانية المقررة لهم وذلك طبقًا للقواعد الصادرة عن مجلس الإدارة فى هذا الشأن مع كفالة سرية المعلومات والبيانات وضمان توافر ما يلزم منها لسلامة تقديم الائتمان ( الفصل السادس حوكمة البنوك مادة (١١٧ ) : يلتزم كل بنك بوضع سياسة داخلية يلتزم فيها بقواعد الحوكمة والرقابة الداخلية طبقًا للقواعد الصادرة عن مجلس الإدارة مادة (١١٨ ) يتولى إدارة البنك مجلس إدارة , يتكون من عدد من الأعضا من ذوى الخبرات المتنوعة تختارهم الجمعية العامة لمدة ثلاث سنوات ويجتمع مجلس إدارة البنك بصورة دورية بناءً على دعوة من رئيسه أومن أغلبية أعضائه ويجوز المشاركة فى اجتماع مجلس إدارة البنك باستخدام إحدى وسائل الاتصال البصرية أوالسمعية المؤمنة وتحسب هذه المشاركة ضمن نصاب الحضور والتصويت وتحدد الجمعية العامة البدلات والمكافآت والمزايا الأخرى المقررة لأعضاء المجلس غير التنفيذيين . ويحدد مجلس إدارة البنك مكافآت ومرتب وبدلات والمزايا الأخرى للعضو المنتدب وذلك كله طبقًا للقواعد والإجراءات الت يحددها مجلس الإدارة مادة ( ١١٩ ) : مع عد الإخلال بحق مجلس إدارة كل بنك فى تشكيل ما يراه من لجان تشكل فىكل بنك لجنة للمراجعة الداخلية من ثلاثة من أعضا ع مجلس إدارة البنك غير التنفيذيين يختارهم مجلس إدارة البنك ويجوز للمجلس أن يضم إلى تشكيلها عضوا خارجيًا من ذوى الخبرة بعد الحصود على موافقة المحافظ على انضمامه
CBE Law No. 194 of 2020.pdf;59;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ويجب أن تعقد لجنة المراجعمة اجتماعًا كل ثلاثة _ أشهر _ على الأكثر يحضره مراقبا حسابات البنك وللجنة أن تستعين فى القيام بعملها بمن تراه وتعرض توصياتها على مجلس إدارة البنك ولأى من مراقبى الحسابات طلب عقد اجتماع اللجنة إذا ما وجد ذلك ضروريًا كما تشكل لجان أخرى للمخاطر والمرتبات والمكافآت والحوكمة والترشيحات وغيرها من اللجان _ التى يحددها مجلس الإدارة ويحدد مجلس الإدارة اختصاصات اللجان المشار إليها ونظم عملها مادة (١٢٠ ) : مع عدم الإخلال بسلطة الجمعية العامة للبنك يتعين قبل تعيين أى من المسنولين الرئيسيين الحصول على موافقة المحافظ بما يفيد استيفا لشروط الجدارة والصلاحية الفنية المشارإليها فى البند اسا من المادة (٨٤) من هذا القانون وذلك طبقًا للإجراءات التى يحددها مجلس الإدارة وفى حالة عدم الموافقة يجب أن يكون القرار مسببًا مادة ( ١٢١ ) : يلتزم المسئولون الرئيسيون بممارسة أعمالهم طبقًا للمبادئ الآتية ( أ) الالتزام = بأحكام هذا القانون واللوائح والتعليمات الصادرة بنا عليه اب) بذل العناية الواجبة طبقًا للأصول الفنية والمهنية (جا التعاون مع البنك المركزي بمصداقية وشفافية اد) إبلاغ البنك المركزى عن آى مخالفات جسيمة بالبنك (ها التحقق من أن الأعمال الواقعة فى نطاق مسئولياتهم بكفاءة وفاعلية طبقًا للقوانين واللوائح والتعليمات المعمول بها ( مراعاة أن يكون تفويض مسئولياتهم لأشخاص يتوافر لديهم الكفاءة والصلاحية للأعمال المفوضة إليهم دون إخلاء مسئوليتهم عن تلك الأعمال ازا بذل العناية الواجبة لحماية مصالح العملا ومعاملتهم . بطريقة عادلة اح) مراعاة الإفصاح والشفافية فى إتاحة المعلومات اللازمة للعملا اط) العمل على منع تعارض الصالح
CBE Law No. 194 of 2020.pdf;60;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٢٢ ) لا يجوز لعضو مجلس إدارة أى بنك بصفته الشخصية أوبصفته ممثلأً لغيره أن يجمع إلى عضويته عضوية مجلس إدارة بنك آخر أو شركة منح ائتمان أوأن يقوم بأى عمل من أعمال الإدارة أوالاستشارة فى أى منهما مادة ( ١٢٣ ) : يحظر على البنك تقديم تمويل أو مبالغ تحت الحساب أو تسهيلات ائتمانية أوضمان من أى نوع لرئيس وأعضاء مجلس إدارته ومراقبى حساباته أو أزوا جهم آو أقاربهم حتى الدرجة الثانية أولأى جهة يكون هؤلا أو أقاربهم حتى الدرجة الثانية شركاء أو مساهمين فيها ولهم سيطرة فعلية عليها أو أعضا فى مجالس إدارتها بصفتهم الشخصية ويستثنى من ذلك ماكان منها بضمانات نقدية وما فى حكمها أو تلك الممنوحة للعضو المنتدب أوالمدير الإقليمى لفروع البنوك الأجنبية بحسب الأحوال فى حدود المزايا المقررة للعاملين به وبذات الشروط المقررة لهم مع الإفصاح عن ذلك طبقًا للقواعد السارية بالبنك وذلك كله على النحو المحدد بالقواعد والإجراءات المحددة من مجلس الإدارة مادة ( ١٢٤ ) مع عدم الإخلال بأحكام قانون الجهاز المركزى للمحاسبات يتولى مراجعة حسابات البنك مراقبان للحسابات يختارهما البنك من بين المقيدين فى السجل المعد لهذا الغرض طبقًا للقواعد التى يضعها مجلس الإدارة ولا يجوز للمراقب الواحد أن يراجع حسابات أكثر من بنكين فى ذات الوقت ولا يجوز لمراقب الحسابات أن يكون مساهمًا فى البنك الذى يراجع حساباته أو يقدم خدمات له وعلى البنك أن يخطر البنك المركزى بتعيين مراقبى الحسابات خلال ثلاثين يومًا من تاريخ تعيينهما وللمحافظ للأسباب التى يراها أن يعهد إلى مراقب حسابات ثالث للقيام بمهمة محددة ويتحمل البنك المركزي أتعابه
CBE Law No. 194 of 2020.pdf;61;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ١٢٥ ) على مراقبى الحسابات أن يعدا تقريرهما عن مراجعة القوائم المالية للبنك طبقًا للقانون ولمعايير المراجعة المصرية والضوابط _ التى يصدر بتحديدها قرارمن مجلس الإدارة على أن يتضمن تقريرهما توضيح ما إذا كانت العمليات - التى قاما بمراجعتها تخالف أى حكم من أحكام هذا القانون أو القرارات أو التعليمات الصادرة تنفيذاً له وعليهما أن يرسلا إلى البنك المركزى قبل انعقاد الجمعية العامة بثلاثين يومًا على الأقل صورة من تقريرهما مصحوبة بنسخة من القوائم المالية وبتقرير تفصيلى متضمنًا ما يأتى ( أ) أسلوب تقييم أصول البنك وكيفية تقدير تعهداته والتزاماته ابا مدى كفاية نظام الرقابة الداخلية فى البنك بجميع مستوياته اجدا مدى كفاية المخصصات لمقابلة أى نقص فى قيم الأصول وكذلك أى التزامات قل تقع على عاتق البنك مع تحديد مقدار العجز فى المخصصات إن وجد اد أى معايير أوضوابط رقابية يرى البنك المركزى أن يتحقق مراقبا الحسابات منها ولا يجوز عقد الجمعية العامة للبنك قبل تلقى ملاحظات البنك المركزى على التقرير القدم إليها عن القوائم المالية وللمحافظ أن يصدر خلال خمسة عشر يومًا من تاريخ تسلم التقرير والمرفقات المشار إليها فى الفقرة الأولى من هذه المادة قرارأ بعدم اعتماد الأرباح المقترح توزيعها على المساهمين وغيرهم من أصحاب النصيب فى الأرباح وذلك إذا تبين وجود نقص فى المخصصات أوانخفاض فى معيار كفاية رأس المالعن الحد الأدنى المقرر أوأى تحفظ يكون قد ورد فى تقرير مراقب ا لحسابات له تأثير مهم على الأرباح القابلة للتوزيع وللمحافظ طبقًا للضوابط والشروط _ التى يصدرها مجلس الإدارة إلزام البنك بزيادة رأس امال أوبتكوين الاحتياطيات والمخصصات اللازمة قبل توزيع الأرباح بما يتماشى مع متطلبات كفاية رأس ام٧اJ والملاءة المالية
CBE Law No. 194 of 2020.pdf;62;PDF;٦٢ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ١٢٦ ) على مراقب الحسابات الالتزام بإبلاغ البنك المركزي مباشرة فى الحالات الآتية ( أ) الوقوف على أى معلومات تؤثر على سلامة الأداء المالى للبنك اب) قيام الإدارة بأى أنشطة تؤثر على سلامة البنك أو سمعته اجا وجود تعارض فى المصالح أوأى خلل فى نظام الرقابة الداخلية مادة ( ١٢٧ ) يكون مراقبا الحسابات مسئولين عما يرد فى تقريرهما من نتائج . وعلى الأخص ما يتعلق بمحفظة الائتمان والمخاطر الناتجة عن الائتمان والاستثمارات والأصول ا لخطرة وللجمعية العامة للبنك أن تطلب من البنك المركزى فحص أى قصور فى التقارير المقدمة من مراقبى الحسابات وإذا ثبت تقصير أى من مراقبى الحسابات فى القيام بالمهام الموكلة له جاز لمجلس الإدارة وقف مراقب الحسابات للمدة التى يحددها أورفع اسمه من السجل المشار إليه فى المادة (١٢٤) من هذا القانون وذلك بعد دراسة المبررات المقدمة من4 واتخاذ ما يلزم لمحاسبته عن تقصيره ( الفصل السابع التقارير وقواعد الإفصاح مادة (١٢٨ ) تبدأ السنة المالية لجميع البنوك ببداية السنة الميلادية وتنتهى بنهايتها ويتم إعداد القوائم المالية للبنك كل ثلاثة _ أشهر طبقًا لمعايير الحاسبة المصرية ويرفق بهذه القوائم , موجز لتقرير مراقب الحسابات طبقًا لمعايير الراجعة المصرية وتقرير مجلس إدارة البنك وتنشر تلك القوائم فى صحيفة يومية واحدة وعلى الموقع الإلكترونى لكل بنك
CBE Law No. 194 of 2020.pdf;63;PDF;٦٣ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ١٢٩ ) يقدم كل بنك للبنك المركزى بيانات شهرية وأسبوعية ويومية عن مركزه المالى وغيرها من بيانات مالية ورقابية وذلك فى المواعيد وطبقا للنماذج التى يصدر بتحديدها قرارمن المحافظ كما يجوز للبنك الركزى طلب أى بيانات أخرى فى الأحوال التى يقدرها من البنك ذاته أومن الشركة الأم أوالشركات الشقيقة أو التابعة له مادة (١٣٠ ) : يقدم كل بنك للبنك المركزى ما يطلبه من بيانات وإيضاحات عن العمليات - التى يباشرها وللبنك المركزى الحق فى التفتيش والاطلاع على السجلات والحسابات ومحاضر مجلس إدارة كل بنك وجميع اللجان والنظم الآلية والوسائط الإلكترونية للبنك والشركات والجهات التابعة له داخل جمهورية مصر العربية وخارجها بما يكفل تحقيق أغراضه . كما يحق له مطالبة الساهمين الرئيسيين بأى بيانات لازمة للتحقق من استمرار توافر شروط الموافقة على طلب التملك ويتم الاطلاع فى مقارالبنك وفروعه وشركاته والجهات التابعة له ويقموم بذلك مفتشو البنك المركزى ومعاونوهم الذين يندبهم المحافظ لهذا الغرض . كما يكون لمفتشى البنك المركزى الحصول على صورة أى مستندات لازمة لتحقيق أغراض التفتيش مادة ( ١٣١ ) يتعين على البنوك الالتزام بتصويب الملاحظات التى أسفرت عنها الرقسابة المكتبية أو التفتيش اليدانى وذلك طبقًا للجدول الزمنى الوارد بخطة الإجراءات التصحيحية وللبنك الركزى تكليف خبير مستقل للقيام بأى مهام فحص يحددها له وعلى نفقته مادة (١٣٢ ) يقدم كل بنك للبنك المركزى نسخة من الدعوة إلى الجمعية العامة للبنك وجدول أعمالها وكذا نسخة من كل تقرير يقدم عن أعماله إلى المساهمين . وذلك قبل ثلاثين يومًا على الأقل من تاريخ انعقاد تلك الجمعية وعليه أن يقدم إلى البنك المركزى صورة من محضر اجتماع كل جمعية عامة خلال ثلاثين يومًا من تاريخ انعقادها وللبنك المركزى أن يؤجل انعقاد الجمعية العامة فى الأحوال التى يراها لمدة لا تجاوز ثلاثين يومًا
CBE Law No. 194 of 2020.pdf;64;PDF;٦٤ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ( الفصل الثامن البنوك المملوكة أسهمها بالكامل للدولة مادة (١٣٣ ) تخضع البنوك المملوكة أسهمها بالكامل للدولة لذات الأحكام التى تخضع لها البنوك الأخرى فيما عداما يرد بهنص خاص فى هذا الفصل وفى جميع الأحوال لا تخضع البنوك المملوكة أسهمها بالكامل للدولة والعاملون فيها لأحكام القموانين واللوائح والقرارات المعمول بها فى شركات القطاع العمام وقطاع الأعمال - العام بما فى ذلك القمانون رقم ٤٧ لسنة ٩٧٣ بشأن الإدارات القانونية بالمؤسسات العامة والهيئات العامة والوحدات التابعة لها والقانون رقم ١٧ لسنة ١٩٥٨ بإعادة تنظيم النيابة الإدارية والمحاكمات التأديبية فى الإقليم المصرى مادة ( ١٣٤) مع عدم الإخلال بأحكام المادة (١٢٠) من هذا القانون يكون تعيين رئيس وأعضا مجلس إدارة البنك المملوكة أسهمه بالكامل للدولة بقرار من رئيس مجلس الوزرا ع مادة (١٣٥ يعتمد مجلس إدارة البنك المملوكة أسهمه بالكامل للدولة جميع لوائح العمل الداخلية طبقًا ٧ ورد فى قانون العمل الصادر بالقانون رقم ٢ لسنة ٢٠٠٣ فى هذا الشأن . ويقر جدول الأجور والحوافز والبدلات للعاملين وله أن يضع نظامًا أوأكثر لإثابتهم فى ضو معدلات أدائهم وحجم ومستوى إنجازهم فى العمل والتحقيق معهم وتأديبهم وذلك كله دون التقيد بأحكام القوانين واللوائح المعمول بها فى شركات القطاع العام وقطاع الأعمال العام مسادة ( ١٣٦ ) : يكون تعيين ممثلى البنوك المملوكة أسهمها بالكامل للدولة فى البنوك والشركات التى تساهم فيها بقرارمن مجلس إدارة البنك العنى ويكون قرار التعيين لدورة واحدة قابلة للتجديد لمرة واحدة ويجوز لمجلس إدارة البنك المملوكة أسهمه بالكامل للدولة تغيير ممثليه قبل انتها دورة المجلس وذلك دون الإخلال بحكم المادة (١٢٠) من هذا القانون
CBE Law No. 194 of 2020.pdf;65;PDF;٦٥ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٣٧ ) : يكون لكل بنك من البنوك المملوكة أسهمها بالكامل للدولة جمعية عامة يصدر بتشكيلها قرارمن رئيس مجلس الوزراء من بين ذوى الخبرة المصرفية والمالية والاقتصادية والقانونية والمحاسبية وتتولى الجمعية العامة للبنك المملوكة أسهمه بالكامل للدولة على الأخص ما يأتى ( أا إقرار القوائم المالية وتوزيع الأرباح وتقرير مراقب ا لحسابات (ب) تعديل النظام الأساسى اجدا تقرير اندماج البنك أو تقسيمه ولا يكون القرار الصادر فى هذا الشأن نافذاً إلا بعد موافقة مجلس الوزرا اد) اعتماد الموازنة التقديرية اها تحديد مرتبات وبدلات ومكافآت رئيس وأعضاء مجلس إدارة البنك ويحضر الجمعية العامة رئيس وأعضاء مجلس إدارة البنك ومراقبا الحسابات وممثل أوأكثر عن البنك المركزى دون أن يكون لهم صوت معدود مسادة (١٣٨) يجموز للقطاع الخماص أن يتملك أسهمًا فى رءوس أموال البنوك المملوكة أسهمها بالكامل للدولة وفى هذه الحالة لا تسرى عليه أحكام هذا الفصل ويعين بقرار من رئيس مجلس الوزراء ممثلو اماJ العام فى اجتماعات الجمعية العامة للبنك وذلك بالنسبة إلى ما تملكه الدولة فى رأسماله مادة ( ١٣٩ ) لا تشمل الموازنة العامة للدولة الموارد والاستخدامات الجارية والرأسمالية للبنوك المملوكة أسهمها بالكامل للدولة ويئول صافى أرباح هذه البنوك للخزانة العامة للدولة وذلك بعد اقتطاعما يتقرر تكوينه من احتياطيات أوحصة العاملين فى الأرباح أو احتجازه من أرباح أوزيادة فى رأس امال أو غيرها من المتطلبات الرقابية الأخرى التى يفرضها البنك المركزي
CBE Law No. 194 of 2020.pdf;66;PDF;٦٦ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ( الفصل التاسع سرية الحسابات مادة (١٤٠ ) تكون جميع بيانات العملاء وحساباتهم وودائعهم وأماناتهم وخزائنهم فى البنوك وكذلك المعاملات المتعلقة بها سرية ولا يجوز الاطلاع عليها أوإعطاء بيانات عنها بطريق مباشر أوغير مباشر إلا بإذن كتابى من صاحب الحساب أو الوديعة أوالأمانة أو الخزينة أومن أحد ورثته أومن أحد الموصى لهم بكل هذه الأموال أوبعضها أومن نائبه القانونى أو وكيله أوبناء على حكم قضائى أوحكم تحكيم ومع عدم الإخلال بالاستثناءات الواردة بهذا القانون يسرى الحظر المنصوص علي فى الفقرة الأولى من هذه المادة على جميع الأشخاص والجهات بما فى ذلك الجهات التى يخولها القانون سلطة الاطلاع أوالحصول على الأوراق أوالبيانات المحظور إفشاء سريتها طبقًا لأحكام هذا القانون ويظل هذا الحظر قائمًا حتى ولوانتهت العلاقة بين العميل والبنك لأى سبب من الأسباب مادة ( ١٤١ إذا اقتضى كشف الحقيقة فى جناية أوجنحة قامت الدلائل الجدية على وقوعها يجوز للنائب العام أولمن يفوضه من المحامين العامين الأول على الأقل من تلقا نفسه أوبناء على طلب جهة رسمية أو أحد من ذوى الشأن أن يطلب من محكمة استئناف القاهرة | - الأمر _ بالاطلاع أوالحصول على أى بيانات أومعلومات تتعلق بالحسابات أوالودائع أوالأمانات أوالخزائن المنصوص عليها فى المادة (١٤٠) من هذا القانون أو المعاملات المتعلقة بها ولأى من ذوى الشأن فى حالة التقرير بما فى الذمة بمناسبة حجز موقع لدى أحد البنوك الخاضعة لأحكام هذا القانون أن يتقدم بالطلب المشار إليه فى الفقرة الأولى من هذه المادة إلى محكمة الاستئناف المختصة
CBE Law No. 194 of 2020.pdf;67;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ وتفصل المحكمة منعقدة فى غرفة المشورة فى الطلب خلال الأيام الثلاثة التالية لتقدمه بعد سماع أقوال النيابة العامة أوذى الشأن وعلى النائب العام أومن يفوضه فى ذلك من المحامين العامين الأول على الأقل وعلى ذى الشأن بحسب الأحوال إخطار البنك وذوى الشأن بالأمر الذى تصدره المحكمة خلال الأيام الثلاثة التالية لصدوره ويبدأ سريان الميعاد المحدد للتقرير بما فى الذمة من تاريخ إخطار البنك بالأمر المذكور ويكون للنائب العام أومن يفوضه من المحامين العمامين الأول على الأقل أن يأمر مباشرة بالاطلاع أوالحصول على أى بيانات أو معلومات تتعلق بالحسابات أو الودائع أوالأمانات أوالخزائن المنصوص عليها فى المادة (١٤٠) من هذا القانون أوالمعاملات المتعلقة بها إذا اقتضى ذلك كشف الحقيقة فى جريمة من ا لجرائم المنصوص عليها فى القسم الأول من الباب الثانى من الكتاب الثانى من قانون العقوبات وفى ا لجرائم المنصوص عليها فى القوانين المتعلقة بمكافحة غسل الأموال ومكافحة وتمويل الإرهاب وللمدعى العام العسكرى أومن يفوضه ممن يعادل درجة محامعام أول على الأقل من أعضا النيابة العسكرية مباشرة الاختصاصات المقررة للنائب العام والمنصوص عليها فى هذه المادة كما تختص المحكمة العسكرية للجنايات بالقاهرة بذات الاختصاصات والإجراءات المقررة لمحكمة استئناف القاهر ة المنصوص عليها فى هذه المادة وذلك كله فيما يدخل فى اختصاص القضا العسكرى مادة (١٤٢ ) : يحظر علىكل من يتلقى أويطلع بحكم مهنته أو وظيفته أوعمله بطريق مباشر أوغير مباشر على معلومات أوبيانات عن العملا أوحساباتهم أو ودائعهم . أوالأمانات أوالخزائن الخاصة بهم أو معاملاتهم إفشاؤها أوتمكين الغير من الاطلاع عليها وذلك فى غيرالحالات المرخص بها بمقتضى أحكام هذا القانون ويستمر هذا الحظر بعد تركهم للعمل
